,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation,CustomerID
90,0,Small Business,Male,Deluxe,Single,Manager,200091
91,0,Small Business,Female,Deluxe,Married,Manager,200092
92,1,Small Business,Male,Standard,Divorced,Senior Manager,200093
93,0,Small Business,Male,Deluxe,Single,Manager,200094
94,0,Large Business,Female,Standard,Divorced,Senior Manager,200095
95,0,Salaried,Female,Deluxe,Divorced,Manager,200096
96,1,Small Business,Male,Deluxe,Divorced,Manager,200097
97,0,Small Business,Male,Super Deluxe,Single,AVP,200098
98,1,Small Business,Male,Deluxe,Divorced,Manager,200099
99,0,Salaried,Male,Basic,Married,Executive,200100
100,0,Salaried,Male,Basic,Single,Executive,200101
101,1,Salaried,Female,Basic,Single,Executive,200102
102,0,Salaried,Female,Deluxe,Single,Manager,200103
103,1,Salaried,Male,Deluxe,Married,Manager,200104
104,1,Salaried,Female,King,Divorced,VP,200105
105,1,Salaried,Female,King,Divorced,VP,200106
106,0,Small Business,Male,Deluxe,Single,Manager,200107
107,0,Small Business,Male,Basic,Divorced,Executive,200108
108,0,Small Business,Female,Basic,Single,Executive,200109
109,1,Small Business,Female,Standard,Unmarried,Senior Manager,200110
110,1,Salaried,Male,Deluxe,Single,Manager,200111
111,1,Salaried,Female,Super Deluxe,Single,AVP,200112
112,0,Salaried,Male,Basic,Divorced,Executive,200113
113,0,Salaried,Female,Deluxe,Married,Manager,200114
114,0,Salaried,Male,Standard,Unmarried,Senior Manager,200115
115,0,Small Business,Fe Male,Standard,Unmarried,Senior Manager,200116
116,1,Large Business,Female,Standard,Divorced,Senior Manager,200117
117,0,Salaried,Female,Basic,Married,Executive,200118
118,1,Salaried,Male,Super Deluxe,Divorced,AVP,200119
119,1,Salaried,Male,Basic,Married,Executive,200120
120,1,Small Business,Male,Deluxe,Divorced,Manager,200121
121,0,Salaried,Female,Basic,Divorced,Executive,200122
122,0,Salaried,Male,King,Single,VP,200123
123,0,Salaried,Male,Deluxe,Divorced,Manager,200124
124,0,Salaried,Female,Basic,Divorced,Executive,200125
125,0,Small Business,Female,Standard,Divorced,Senior Manager,200126
126,0,Small Business,Male,Basic,Single,Executive,200127
127,0,Large Business,Male,Basic,Divorced,Executive,200128
128,0,Small Business,Female,Deluxe,Divorced,Manager,200129
129,1,Small Business,Female,Basic,Single,Executive,200130
130,1,Small Business,Fe Male,Standard,Unmarried,Senior Manager,200131
131,0,Salaried,Female,Deluxe,Divorced,Manager,200132
132,0,Salaried,Male,Standard,Married,Senior Manager,200133
133,0,Salaried,Female,Basic,Divorced,Executive,200134
134,0,Small Business,Male,Deluxe,Married,Manager,200135
135,1,Salaried,Male,Standard,Unmarried,Senior Manager,200136
136,0,Salaried,Female,Deluxe,Divorced,Manager,200137
137,0,Salaried,Male,Deluxe,Divorced,Manager,200138
138,0,Salaried,Male,Deluxe,Divorced,Manager,200139
139,0,Small Business,Female,Basic,Single,Executive,200140
140,0,Small Business,Male,Basic,Single,Executive,200141
141,0,Salaried,Female,Basic,Single,Executive,200143
142,1,Small Business,Male,Deluxe,Married,Manager,200144
143,0,Large Business,Female,Basic,Married,Executive,200145
144,0,Small Business,Male,Basic,Single,Executive,200146
145,1,Salaried,Male,Super Deluxe,Married,AVP,200147
146,0,Salaried,Male,Basic,Divorced,Executive,200148
147,0,Small Business,Female,Basic,Single,Executive,200149
148,1,Small Business,Female,Deluxe,Married,Manager,200150
149,0,Small Business,Male,Standard,Divorced,Senior Manager,200151
150,0,Small Business,Male,Deluxe,Divorced,Manager,200152
151,0,Salaried,Male,Deluxe,Married,Manager,200153
152,1,Small Business,Fe Male,Standard,Unmarried,Senior Manager,200154
153,1,Large Business,Male,Deluxe,Divorced,Manager,200155
154,0,Small Business,Male,Deluxe,Divorced,Manager,200156
155,0,Small Business,Female,Basic,Divorced,Executive,200157
156,0,Small Business,Male,Standard,Divorced,Senior Manager,200158
157,1,Small Business,Female,Basic,Divorced,Executive,200159
158,0,Small Business,Male,Basic,Divorced,Executive,200160
159,1,Small Business,Male,Basic,Married,Executive,200161
160,0,Small Business,Male,Basic,Divorced,Executive,200162
161,0,Salaried,Male,Standard,Married,Senior Manager,200163
162,1,Small Business,Male,Basic,Married,Executive,200164
163,0,Salaried,Female,King,Single,VP,200165
164,0,Salaried,Male,Basic,Married,Executive,200166
165,0,Salaried,Female,Standard,Divorced,Senior Manager,200167
166,0,Salaried,Fe Male,Deluxe,Unmarried,Manager,200168
167,0,Salaried,Male,Basic,Single,Executive,200169
168,0,Large Business,Male,Basic,Divorced,Executive,200170
169,1,Large Business,Female,Basic,Single,Executive,200171
170,1,Small Business,Male,Basic,Single,Executive,200172
171,1,Small Business,Male,Deluxe,Married,Manager,200173
172,0,Salaried,Female,Deluxe,Married,Manager,200174
173,0,Salaried,Female,Basic,Married,Executive,200175
174,0,Salaried,Male,Basic,Single,Executive,200176
175,0,Salaried,Male,Basic,Single,Executive,200177
176,0,Small Business,Female,Standard,Married,Senior Manager,200178
177,0,Salaried,Female,Basic,Single,Executive,200179
178,0,Small Business,Female,Basic,Divorced,Executive,200180
179,0,Small Business,Female,Basic,Single,Executive,200181
180,0,Small Business,Female,Basic,Single,Executive,200182
181,0,Small Business,Male,Basic,Divorced,Executive,200183
182,0,Small Business,Female,Deluxe,Married,Manager,200184
183,0,Small Business,Female,Basic,Divorced,Executive,200185
184,0,Small Business,Female,King,Divorced,VP,200186
185,0,Small Business,Male,King,Single,VP,200187
186,1,Salaried,Male,Deluxe,Divorced,Manager,200188
187,0,Small Business,Female,Super Deluxe,Single,AVP,200189
188,0,Salaried,Male,King,Divorced,VP,200190
189,0,Small Business,Female,Basic,Single,Executive,200191
190,0,Salaried,Male,Deluxe,Divorced,Manager,200192
191,1,Small Business,Male,Basic,Married,Executive,200193
192,1,Small Business,Male,Super Deluxe,Divorced,AVP,200194
193,0,Salaried,Male,Basic,Divorced,Executive,200195
194,1,Small Business,Female,Deluxe,Single,Manager,200196
195,1,Small Business,Female,Deluxe,Married,Manager,200197
196,0,Salaried,Male,Deluxe,Divorced,Manager,200198
197,0,Large Business,Male,Deluxe,Divorced,Manager,200199
198,1,Large Business,Male,Deluxe,Divorced,Manager,200200
199,1,Salaried,Male,Deluxe,Married,Manager,200201
200,1,Small Business,Male,Basic,Married,Executive,200202
201,0,Small Business,Male,Deluxe,Divorced,Manager,200203
202,0,Small Business,Male,Deluxe,Divorced,Manager,200204
203,0,Small Business,Female,Standard,Divorced,Senior Manager,200205
204,0,Salaried,Male,Basic,Married,Executive,200206
205,1,Small Business,Female,Basic,Single,Executive,200207
206,1,Salaried,Male,Deluxe,Divorced,Manager,200208
207,0,Small Business,Male,Standard,Married,Senior Manager,200209
208,0,Small Business,Male,Standard,Divorced,Senior Manager,200210
209,1,Salaried,Male,Standard,Unmarried,Senior Manager,200211
210,1,Salaried,Fe Male,Deluxe,Unmarried,Manager,200212
211,0,Salaried,Male,Standard,Divorced,Senior Manager,200213
212,0,Large Business,Female,Basic,Single,Executive,200214
213,0,Salaried,Fe Male,Standard,Single,Senior Manager,200215
214,1,Small Business,Female,Deluxe,Unmarried,Manager,200216
215,0,Large Business,Male,Basic,Single,Executive,200217
216,1,Small Business,Fe Male,Standard,Unmarried,Senior Manager,200218
217,0,Small Business,Female,Deluxe,Divorced,Manager,200219
218,0,Salaried,Male,Deluxe,Single,Manager,200220
219,0,Small Business,Female,Basic,Divorced,Executive,200221
220,1,Salaried,Male,Standard,Married,Senior Manager,200222
221,0,Salaried,Male,Standard,Married,Senior Manager,200223
222,0,Small Business,Male,Deluxe,Divorced,Manager,200224
223,0,Salaried,Male,Basic,Divorced,Executive,200225
224,1,Small Business,Male,Basic,Married,Executive,200226
225,1,Small Business,Female,Standard,Divorced,Senior Manager,200227
226,1,Small Business,Fe Male,Standard,Unmarried,Senior Manager,200228
227,0,Small Business,Male,Basic,Single,Executive,200229
228,0,Salaried,Female,Basic,Single,Executive,200230
229,0,Large Business,Male,King,Divorced,VP,200231
230,0,Small Business,Male,Basic,Divorced,Executive,200232
231,0,Small Business,Female,King,Married,VP,200233
232,0,Small Business,Male,Basic,Divorced,Executive,200234
233,0,Small Business,Female,Super Deluxe,Divorced,AVP,200235
234,0,Salaried,Female,Basic,Divorced,Executive,200236
235,1,Salaried,Male,King,Single,VP,200237
236,0,Salaried,Female,Basic,Divorced,Executive,200238
237,0,Salaried,Male,Basic,Single,Executive,200239
238,0,Small Business,Female,Basic,Married,Executive,200240
239,1,Small Business,Male,Deluxe,Divorced,Manager,200241
240,0,Salaried,Male,Deluxe,Married,Manager,200242
241,0,Large Business,Male,Deluxe,Married,Manager,200243
242,0,Salaried,Male,King,Divorced,VP,200244
243,1,Small Business,Male,Standard,Married,Senior Manager,200245
244,0,Salaried,Female,Basic,Divorced,Executive,200246
245,0,Salaried,Male,Deluxe,Divorced,Manager,200247
246,0,Small Business,Female,Basic,Divorced,Executive,200248
247,1,Salaried,Male,Deluxe,Divorced,Manager,200249
248,1,Small Business,Male,Standard,Married,Senior Manager,200250
249,1,Large Business,Fe Male,Standard,Unmarried,Senior Manager,200251
250,0,Salaried,Male,Basic,Single,Executive,200252
251,0,Salaried,Female,Deluxe,Unmarried,Manager,200253
252,0,Small Business,Male,Deluxe,Married,Manager,200254
253,0,Salaried,Female,Deluxe,Divorced,Manager,200255
254,0,Small Business,Female,Basic,Married,Executive,200256
255,0,Small Business,Male,King,Married,VP,200257
256,0,Salaried,Male,Basic,Divorced,Executive,200258
257,1,Small Business,Male,Basic,Single,Executive,200259
258,1,Salaried,Male,Basic,Divorced,Executive,200260
259,1,Salaried,Male,Deluxe,Divorced,Manager,200261
260,0,Large Business,Male,Deluxe,Single,Manager,200262
261,0,Large Business,Female,Super Deluxe,Divorced,AVP,200263
262,0,Salaried,Male,Basic,Single,Executive,200264
263,0,Small Business,Male,Deluxe,Divorced,Manager,200265
264,0,Small Business,Male,Deluxe,Divorced,Manager,200266
265,1,Salaried,Male,Deluxe,Married,Manager,200267
266,0,Small Business,Male,Super Deluxe,Divorced,AVP,200268
267,0,Salaried,Male,Basic,Divorced,Executive,200269
268,0,Small Business,Male,King,Single,VP,200270
269,1,Salaried,Male,Standard,Divorced,Senior Manager,200271
270,0,Small Business,Male,Basic,Divorced,Executive,200272
271,0,Small Business,Male,Deluxe,Divorced,Manager,200273
272,0,Small Business,Male,Basic,Single,Executive,200274
273,1,Small Business,Female,Standard,Married,Senior Manager,200275
274,0,Salaried,Female,Standard,Married,Senior Manager,200276
275,0,Small Business,Female,Deluxe,Married,Manager,200277
276,1,Salaried,Female,Deluxe,Married,Manager,200278
277,0,Salaried,Male,King,Married,VP,200279
278,0,Small Business,Male,Super Deluxe,Divorced,AVP,200280
279,0,Salaried,Male,Deluxe,Divorced,Manager,200281
280,1,Salaried,Male,Deluxe,Single,Manager,200282
281,0,Large Business,Male,Deluxe,Divorced,Manager,200283
282,1,Small Business,Male,Deluxe,Divorced,Manager,200284
283,0,Salaried,Female,Basic,Single,Executive,200285
284,1,Salaried,Male,Basic,Married,Executive,200286
285,0,Salaried,Male,Deluxe,Married,Manager,200287
286,0,Small Business,Male,Basic,Married,Executive,200288
287,0,Salaried,Female,Basic,Single,Executive,200289
288,1,Salaried,Female,King,Single,VP,200290
289,0,Large Business,Male,Deluxe,Single,Manager,200291
290,1,Small Business,Female,Basic,Married,Executive,200292
291,0,Small Business,Male,Deluxe,Single,Manager,200293
292,1,Small Business,Male,Basic,Divorced,Executive,200294
293,1,Small Business,Female,Super Deluxe,Divorced,AVP,200295
294,0,Salaried,Male,Basic,Single,Executive,200296
295,0,Small Business,Male,Standard,Divorced,Senior Manager,200297
296,1,Salaried,Male,Basic,Divorced,Executive,200298
297,0,Small Business,Male,Deluxe,Married,Manager,200299
298,0,Salaried,Male,Super Deluxe,Single,AVP,200300
299,0,Small Business,Female,Basic,Single,Executive,200301
300,0,Small Business,Male,Deluxe,Single,Manager,200302
301,0,Large Business,Male,Deluxe,Divorced,Manager,200303
302,0,Small Business,Male,Standard,Married,Senior Manager,200304
303,1,Salaried,Female,Deluxe,Divorced,Manager,200305
304,0,Salaried,Male,Deluxe,Divorced,Manager,200306
305,0,Salaried,Female,Standard,Divorced,Senior Manager,200307
306,1,Salaried,Male,Deluxe,Married,Manager,200308
307,0,Large Business,Male,Basic,Divorced,Executive,200309
308,0,Salaried,Male,Deluxe,Divorced,Manager,200310
309,1,Salaried,Male,Standard,Married,Senior Manager,200311
310,0,Salaried,Male,Basic,Married,Executive,200312
311,1,Salaried,Female,Standard,Divorced,Senior Manager,200313
312,0,Small Business,Male,Super Deluxe,Divorced,AVP,200314
313,1,Salaried,Female,Basic,Single,Executive,200315
314,0,Large Business,Female,Super Deluxe,Single,AVP,200316
315,0,Small Business,Male,Deluxe,Divorced,Manager,200317
316,0,Salaried,Female,Basic,Single,Executive,200318
317,0,Large Business,Female,Deluxe,Divorced,Manager,200319
318,0,Salaried,Male,Deluxe,Single,Manager,200320
319,0,Small Business,Male,Deluxe,Married,Manager,200321
320,0,Small Business,Female,Deluxe,Single,Manager,200322
321,0,Small Business,Male,Basic,Divorced,Executive,200323
322,0,Small Business,Female,Deluxe,Divorced,Manager,200324
323,1,Salaried,Female,Standard,Divorced,Senior Manager,200325
324,1,Small Business,Male,King,Divorced,VP,200326
325,0,Small Business,Female,Deluxe,Divorced,Manager,200327
326,1,Small Business,Male,Deluxe,Single,Manager,200328
327,0,Salaried,Male,King,Divorced,VP,200329
328,1,Salaried,Female,Deluxe,Married,Manager,200330
329,1,Small Business,Male,Deluxe,Divorced,Manager,200331
330,1,Salaried,Female,Deluxe,Single,Manager,200332
331,0,Salaried,Female,Standard,Divorced,Senior Manager,200333
332,0,Salaried,Male,Deluxe,Divorced,Manager,200334
333,0,Small Business,Male,Deluxe,Divorced,Manager,200335
334,0,Salaried,Male,Basic,Divorced,Executive,200336
335,0,Salaried,Male,Basic,Single,Executive,200337
336,0,Small Business,Female,Deluxe,Married,Manager,200338
337,0,Small Business,Female,Deluxe,Divorced,Manager,200339
338,0,Small Business,Male,Deluxe,Married,Manager,200340
339,0,Salaried,Male,Standard,Married,Senior Manager,200341
340,0,Small Business,Female,Standard,Unmarried,Senior Manager,200342
341,0,Small Business,Female,Deluxe,Married,Manager,200343
342,0,Large Business,Male,Standard,Unmarried,Senior Manager,200344
343,0,Salaried,Male,Basic,Married,Executive,200345
344,0,Small Business,Male,Deluxe,Single,Manager,200346
345,1,Small Business,Male,Deluxe,Single,Manager,200347
346,0,Salaried,Female,Super Deluxe,Single,AVP,200348
347,1,Salaried,Male,Deluxe,Divorced,Manager,200349
348,0,Large Business,Male,Basic,Married,Executive,200350
349,0,Small Business,Female,Basic,Divorced,Executive,200351
350,0,Small Business,Female,Standard,Divorced,Senior Manager,200352
351,0,Small Business,Male,Deluxe,Married,Manager,200353
352,1,Large Business,Female,Deluxe,Divorced,Manager,200354
353,0,Salaried,Male,Deluxe,Divorced,Manager,200355
354,0,Salaried,Male,Deluxe,Unmarried,Manager,200356
355,1,Large Business,Female,Basic,Single,Executive,200357
356,1,Small Business,Female,Deluxe,Unmarried,Manager,200358
357,1,Small Business,Male,Standard,Divorced,Senior Manager,200359
358,0,Small Business,Male,Deluxe,Divorced,Manager,200360
359,0,Salaried,Female,Basic,Divorced,Executive,200361
360,1,Small Business,Male,Basic,Single,Executive,200362
361,0,Small Business,Female,Basic,Single,Executive,200363
362,0,Small Business,Female,Basic,Divorced,Executive,200364
363,1,Small Business,Female,Deluxe,Divorced,Manager,200365
364,1,Small Business,Male,Deluxe,Unmarried,Manager,200366
365,0,Large Business,Male,Standard,Unmarried,Senior Manager,200367
366,0,Small Business,Male,Deluxe,Divorced,Manager,200368
367,0,Salaried,Male,Basic,Single,Executive,200369
368,0,Salaried,Female,Basic,Single,Executive,200370
369,0,Salaried,Male,Basic,Single,Executive,200371
370,0,Salaried,Male,Deluxe,Unmarried,Manager,200372
371,0,Small Business,Male,Basic,Married,Executive,200373
372,0,Salaried,Male,Deluxe,Single,Manager,200374
373,0,Salaried,Male,Standard,Unmarried,Senior Manager,200375
374,0,Salaried,Female,Deluxe,Divorced,Manager,200376
375,0,Salaried,Female,Basic,Divorced,Executive,200377
376,1,Small Business,Male,Deluxe,Single,Manager,200378
377,0,Salaried,Female,Super Deluxe,Single,AVP,200379
378,0,Small Business,Female,Deluxe,Married,Manager,200380
379,0,Large Business,Male,Basic,Divorced,Executive,200381
380,1,Large Business,Male,Basic,Single,Executive,200382
381,0,Small Business,Female,Basic,Divorced,Executive,200383
382,0,Small Business,Male,Standard,Divorced,Senior Manager,200384
383,0,Salaried,Female,Basic,Married,Executive,200386
384,0,Small Business,Female,Deluxe,Married,Manager,200387
385,0,Salaried,Female,Basic,Married,Executive,200388
386,0,Salaried,Male,Deluxe,Single,Manager,200389
387,0,Salaried,Male,Super Deluxe,Married,AVP,200390
388,0,Small Business,Female,Deluxe,Divorced,Manager,200391
389,0,Small Business,Male,King,Divorced,VP,200392
390,1,Small Business,Female,Deluxe,Divorced,Manager,200393
391,0,Small Business,Female,Deluxe,Divorced,Manager,200394
392,1,Small Business,Male,Basic,Divorced,Executive,200395
393,0,Salaried,Female,Deluxe,Married,Manager,200396
394,0,Salaried,Female,Deluxe,Single,Manager,200397
395,1,Small Business,Female,Deluxe,Divorced,Manager,200398
396,0,Salaried,Male,Basic,Divorced,Executive,200399
397,1,Salaried,Male,King,Married,VP,200400
398,1,Salaried,Female,Super Deluxe,Divorced,AVP,200401
399,0,Large Business,Female,Deluxe,Unmarried,Manager,200402
400,0,Small Business,Male,Standard,Divorced,Senior Manager,200403
401,0,Small Business,Male,Deluxe,Married,Manager,200404
402,0,Small Business,Male,Basic,Divorced,Executive,200405
403,0,Small Business,Male,Standard,Divorced,Senior Manager,200406
404,0,Salaried,Male,Basic,Divorced,Executive,200407
405,0,Salaried,Female,Super Deluxe,Divorced,AVP,200408
406,1,Salaried,Female,Deluxe,Married,Manager,200409
407,0,Salaried,Female,Deluxe,Single,Manager,200410
408,0,Salaried,Female,King,Divorced,VP,200411
409,0,Small Business,Female,Deluxe,Married,Manager,200412
410,1,Large Business,Female,Deluxe,Divorced,Manager,200413
411,0,Large Business,Female,Basic,Single,Executive,200414
412,1,Small Business,Female,Basic,Married,Executive,200415
413,1,Salaried,Male,Basic,Divorced,Executive,200416
414,0,Salaried,Female,King,Divorced,VP,200417
415,0,Salaried,Female,Basic,Married,Executive,200418
416,1,Salaried,Male,Basic,Divorced,Executive,200419
417,0,Small Business,Male,Standard,Divorced,Senior Manager,200420
418,0,Large Business,Female,Basic,Divorced,Executive,200421
419,0,Large Business,Male,Basic,Single,Executive,200422
420,1,Salaried,Female,Standard,Divorced,Senior Manager,200423
421,0,Small Business,Male,Super Deluxe,Married,AVP,200424
422,0,Salaried,Male,Super Deluxe,Divorced,AVP,200425
423,1,Small Business,Female,Basic,Single,Executive,200426
424,1,Small Business,Female,Standard,Divorced,Senior Manager,200427
425,0,Small Business,Female,Deluxe,Married,Manager,200428
426,0,Salaried,Male,Super Deluxe,Divorced,AVP,200429
427,0,Salaried,Male,Basic,Single,Executive,200430
428,0,Salaried,Female,Deluxe,Single,Manager,200431
429,0,Salaried,Male,Basic,Married,Executive,200432
430,0,Small Business,Female,Standard,Divorced,Senior Manager,200433
431,0,Salaried,Male,Standard,Married,Senior Manager,200434
432,0,Small Business,Male,Standard,Divorced,Senior Manager,200435
433,0,Small Business,Male,Basic,Married,Executive,200436
434,0,Small Business,Male,Basic,Single,Executive,200437
435,0,Salaried,Male,Standard,Divorced,Senior Manager,200438
436,1,Salaried,Male,Standard,Divorced,Senior Manager,200439
437,1,Salaried,Female,Standard,Married,Senior Manager,200440
438,1,Salaried,Male,Basic,Divorced,Executive,200441
439,1,Small Business,Male,Standard,Unmarried,Senior Manager,200442
440,1,Large Business,Male,Basic,Single,Executive,200443
441,0,Small Business,Female,Deluxe,Divorced,Manager,200444
442,0,Salaried,Female,Super Deluxe,Single,AVP,200445
443,1,Salaried,Male,Deluxe,Single,Manager,200446
444,0,Small Business,Male,Deluxe,Divorced,Manager,200447
445,0,Salaried,Fe Male,Super Deluxe,Unmarried,AVP,200448
446,1,Salaried,Female,Basic,Divorced,Executive,200449
447,0,Salaried,Male,Deluxe,Unmarried,Manager,200450
448,0,Small Business,Male,Standard,Divorced,Senior Manager,200451
449,0,Salaried,Male,Deluxe,Divorced,Manager,200452
450,1,Salaried,Female,Basic,Married,Executive,200453
451,0,Large Business,Male,Deluxe,Married,Manager,200454
452,0,Small Business,Female,Super Deluxe,Married,AVP,200455
453,0,Salaried,Male,Standard,Married,Senior Manager,200456
454,1,Small Business,Male,Basic,Single,Executive,200457
455,1,Salaried,Male,Standard,Married,Senior Manager,200458
456,1,Salaried,Female,Deluxe,Unmarried,Manager,200459
457,0,Small Business,Male,Deluxe,Married,Manager,200460
458,0,Small Business,Female,Deluxe,Single,Manager,200461
459,0,Salaried,Male,Deluxe,Single,Manager,200462
460,0,Large Business,Male,Basic,Single,Executive,200463
461,0,Large Business,Female,Standard,Unmarried,Senior Manager,200464
462,1,Small Business,Female,Standard,Divorced,Senior Manager,200465
463,0,Salaried,Female,Super Deluxe,Divorced,AVP,200466
464,1,Small Business,Male,Standard,Married,Senior Manager,200467
465,0,Large Business,Male,Deluxe,Married,Manager,200468
466,1,Salaried,Male,Deluxe,Divorced,Manager,200469
467,1,Small Business,Male,Basic,Divorced,Executive,200470
468,0,Small Business,Female,Deluxe,Divorced,Manager,200471
469,0,Salaried,Female,Deluxe,Divorced,Manager,200472
470,0,Salaried,Male,King,Married,VP,200473
471,0,Small Business,Male,Basic,Divorced,Executive,200474
472,0,Small Business,Male,Deluxe,Divorced,Manager,200475
473,0,Salaried,Male,Basic,Divorced,Executive,200476
474,1,Small Business,Male,King,Divorced,VP,200477
475,0,Small Business,Male,Basic,Divorced,Executive,200478
476,1,Salaried,Female,Basic,Divorced,Executive,200479
477,1,Salaried,Male,Basic,Divorced,Executive,200480
478,0,Salaried,Male,Basic,Divorced,Executive,200481
479,0,Small Business,Male,Deluxe,Married,Manager,200482
480,0,Salaried,Male,Deluxe,Single,Manager,200483
481,0,Small Business,Male,Deluxe,Married,Manager,200484
482,0,Small Business,Female,Basic,Married,Executive,200485
483,0,Small Business,Male,Deluxe,Divorced,Manager,200486
484,0,Salaried,Female,Basic,Single,Executive,200487
485,0,Salaried,Female,Deluxe,Divorced,Manager,200488
486,0,Salaried,Male,Super Deluxe,Married,AVP,200489
487,0,Salaried,Female,Basic,Single,Executive,200490
