,TypeofContact_0,Occupation_0,Gender_0,ProductPitched_0,ProductPitched_1,MaritalStatus_0,Designation_0,Designation_1,CustomerID
152,2,3,3,0,3,4,0,3,200154
153,2,4,2,0,1,2,0,1,200155
154,1,3,2,0,1,2,0,1,200156
155,1,3,1,0,2,2,0,2,200157
156,1,3,2,0,3,2,0,3,200158
157,2,3,1,0,2,2,0,2,200159
158,1,3,2,0,2,2,0,2,200160
159,2,3,2,0,2,3,0,2,200161
160,1,3,2,0,2,2,0,2,200162
161,1,1,2,0,3,3,0,3,200163
162,2,3,2,0,2,3,0,2,200164
163,1,1,1,1,0,1,1,0,200165
164,1,1,2,0,2,3,0,2,200166
165,1,1,1,0,3,2,0,3,200167
166,1,1,3,0,1,4,0,1,200168
167,1,1,2,0,2,1,0,2,200169
168,1,4,2,0,2,2,0,2,200170
169,2,4,1,0,2,1,0,2,200171
170,2,3,2,0,2,1,0,2,200172
171,2,3,2,0,1,3,0,1,200173
172,1,1,1,0,1,3,0,1,200174
173,1,1,1,0,2,3,0,2,200175
174,1,1,2,0,2,1,0,2,200176
175,1,1,2,0,2,1,0,2,200177
176,1,3,1,0,3,3,0,3,200178
177,1,1,1,0,2,1,0,2,200179
178,1,3,1,0,2,2,0,2,200180
179,1,3,1,0,2,1,0,2,200181
180,1,3,1,0,2,1,0,2,200182
181,1,3,2,0,2,2,0,2,200183
182,1,3,1,0,1,3,0,1,200184
183,1,3,1,0,2,2,0,2,200185
184,1,3,1,1,0,2,1,0,200186
185,1,3,2,1,0,1,1,0,200187
186,2,1,2,0,1,2,0,1,200188
187,1,3,1,0,4,1,0,4,200189
188,1,1,2,1,0,2,1,0,200190
189,1,3,1,0,2,1,0,2,200191
190,1,1,2,0,1,2,0,1,200192
191,2,3,2,0,2,3,0,2,200193
192,2,3,2,0,4,2,0,4,200194
193,1,1,2,0,2,2,0,2,200195
194,2,3,1,0,1,1,0,1,200196
195,2,3,1,0,1,3,0,1,200197
196,1,1,2,0,1,2,0,1,200198
197,1,4,2,0,1,2,0,1,200199
198,2,4,2,0,1,2,0,1,200200
199,2,1,2,0,1,3,0,1,200201
200,2,3,2,0,2,3,0,2,200202
201,1,3,2,0,1,2,0,1,200203
202,1,3,2,0,1,2,0,1,200204
203,1,3,1,0,3,2,0,3,200205
204,1,1,2,0,2,3,0,2,200206
205,2,3,1,0,2,1,0,2,200207
206,2,1,2,0,1,2,0,1,200208
207,1,3,2,0,3,3,0,3,200209
208,1,3,2,0,3,2,0,3,200210
209,2,1,2,0,3,4,0,3,200211
210,2,1,3,0,1,4,0,1,200212
211,1,1,2,0,3,2,0,3,200213
212,1,4,1,0,2,1,0,2,200214
213,1,1,3,0,3,1,0,3,200215
214,2,3,1,0,1,4,0,1,200216
215,1,4,2,0,2,1,0,2,200217
216,2,3,3,0,3,4,0,3,200218
217,1,3,1,0,1,2,0,1,200219
218,1,1,2,0,1,1,0,1,200220
219,1,3,1,0,2,2,0,2,200221
220,2,1,2,0,3,3,0,3,200222
221,1,1,2,0,3,3,0,3,200223
222,1,3,2,0,1,2,0,1,200224
223,1,1,2,0,2,2,0,2,200225
224,2,3,2,0,2,3,0,2,200226
225,2,3,1,0,3,2,0,3,200227
226,2,3,3,0,3,4,0,3,200228
227,1,3,2,0,2,1,0,2,200229
228,1,1,1,0,2,1,0,2,200230
229,1,4,2,1,0,2,1,0,200231
230,1,3,2,0,2,2,0,2,200232
231,1,3,1,1,0,3,1,0,200233
232,1,3,2,0,2,2,0,2,200234
233,1,3,1,0,4,2,0,4,200235
234,1,1,1,0,2,2,0,2,200236
235,2,1,2,1,0,1,1,0,200237
236,1,1,1,0,2,2,0,2,200238
237,1,1,2,0,2,1,0,2,200239
238,1,3,1,0,2,3,0,2,200240
239,2,3,2,0,1,2,0,1,200241
240,1,1,2,0,1,3,0,1,200242
241,1,4,2,0,1,3,0,1,200243
242,1,1,2,1,0,2,1,0,200244
243,2,3,2,0,3,3,0,3,200245
244,1,1,1,0,2,2,0,2,200246
245,1,1,2,0,1,2,0,1,200247
246,1,3,1,0,2,2,0,2,200248
247,2,1,2,0,1,2,0,1,200249
248,2,3,2,0,3,3,0,3,200250
249,2,4,3,0,3,4,0,3,200251
250,1,1,2,0,2,1,0,2,200252
251,1,1,1,0,1,4,0,1,200253
252,1,3,2,0,1,3,0,1,200254
253,1,1,1,0,1,2,0,1,200255
254,1,3,1,0,2,3,0,2,200256
255,1,3,2,1,0,3,1,0,200257
256,1,1,2,0,2,2,0,2,200258
257,2,3,2,0,2,1,0,2,200259
258,2,1,2,0,2,2,0,2,200260
259,2,1,2,0,1,2,0,1,200261
260,1,4,2,0,1,1,0,1,200262
261,1,4,1,0,4,2,0,4,200263
262,1,1,2,0,2,1,0,2,200264
263,1,3,2,0,1,2,0,1,200265
264,1,3,2,0,1,2,0,1,200266
265,2,1,2,0,1,3,0,1,200267
266,1,3,2,0,4,2,0,4,200268
267,1,1,2,0,2,2,0,2,200269
268,1,3,2,1,0,1,1,0,200270
269,2,1,2,0,3,2,0,3,200271
270,1,3,2,0,2,2,0,2,200272
271,1,3,2,0,1,2,0,1,200273
272,1,3,2,0,2,1,0,2,200274
273,2,3,1,0,3,3,0,3,200275
274,1,1,1,0,3,3,0,3,200276
275,1,3,1,0,1,3,0,1,200277
276,2,1,1,0,1,3,0,1,200278
277,1,1,2,1,0,3,1,0,200279
278,1,3,2,0,4,2,0,4,200280
279,1,1,2,0,1,2,0,1,200281
280,2,1,2,0,1,1,0,1,200282
281,1,4,2,0,1,2,0,1,200283
282,2,3,2,0,1,2,0,1,200284
283,1,1,1,0,2,1,0,2,200285
284,2,1,2,0,2,3,0,2,200286
285,1,1,2,0,1,3,0,1,200287
286,1,3,2,0,2,3,0,2,200288
287,1,1,1,0,2,1,0,2,200289
288,2,1,1,1,0,1,1,0,200290
289,1,4,2,0,1,1,0,1,200291
290,2,3,1,0,2,3,0,2,200292
291,1,3,2,0,1,1,0,1,200293
292,2,3,2,0,2,2,0,2,200294
293,2,3,1,0,4,2,0,4,200295
294,1,1,2,0,2,1,0,2,200296
295,1,3,2,0,3,2,0,3,200297
296,2,1,2,0,2,2,0,2,200298
297,1,3,2,0,1,3,0,1,200299
298,1,1,2,0,4,1,0,4,200300
299,1,3,1,0,2,1,0,2,200301
300,1,3,2,0,1,1,0,1,200302
301,1,4,2,0,1,2,0,1,200303
302,1,3,2,0,3,3,0,3,200304
303,2,1,1,0,1,2,0,1,200305
304,1,1,2,0,1,2,0,1,200306
305,1,1,1,0,3,2,0,3,200307
306,2,1,2,0,1,3,0,1,200308
307,1,4,2,0,2,2,0,2,200309
308,1,1,2,0,1,2,0,1,200310
309,2,1,2,0,3,3,0,3,200311
310,1,1,2,0,2,3,0,2,200312
311,2,1,1,0,3,2,0,3,200313
312,1,3,2,0,4,2,0,4,200314
313,2,1,1,0,2,1,0,2,200315
314,1,4,1,0,4,1,0,4,200316
315,1,3,2,0,1,2,0,1,200317
316,1,1,1,0,2,1,0,2,200318
317,1,4,1,0,1,2,0,1,200319
318,1,1,2,0,1,1,0,1,200320
319,1,3,2,0,1,3,0,1,200321
320,1,3,1,0,1,1,0,1,200322
321,1,3,2,0,2,2,0,2,200323
322,1,3,1,0,1,2,0,1,200324
323,2,1,1,0,3,2,0,3,200325
324,2,3,2,1,0,2,1,0,200326
325,1,3,1,0,1,2,0,1,200327
326,2,3,2,0,1,1,0,1,200328
327,1,1,2,1,0,2,1,0,200329
328,2,1,1,0,1,3,0,1,200330
329,2,3,2,0,1,2,0,1,200331
330,2,1,1,0,1,1,0,1,200332
331,1,1,1,0,3,2,0,3,200333
332,1,1,2,0,1,2,0,1,200334
333,1,3,2,0,1,2,0,1,200335
334,1,1,2,0,2,2,0,2,200336
335,1,1,2,0,2,1,0,2,200337
336,1,3,1,0,1,3,0,1,200338
337,1,3,1,0,1,2,0,1,200339
338,1,3,2,0,1,3,0,1,200340
339,1,1,2,0,3,3,0,3,200341
340,1,3,1,0,3,4,0,3,200342
341,1,3,1,0,1,3,0,1,200343
342,1,4,2,0,3,4,0,3,200344
343,1,1,2,0,2,3,0,2,200345
344,1,3,2,0,1,1,0,1,200346
345,2,3,2,0,1,1,0,1,200347
346,1,1,1,0,4,1,0,4,200348
347,2,1,2,0,1,2,0,1,200349
348,1,4,2,0,2,3,0,2,200350
349,1,3,1,0,2,2,0,2,200351
350,1,3,1,0,3,2,0,3,200352
351,1,3,2,0,1,3,0,1,200353
352,2,4,1,0,1,2,0,1,200354
353,1,1,2,0,1,2,0,1,200355
354,1,1,2,0,1,4,0,1,200356
355,2,4,1,0,2,1,0,2,200357
356,2,3,1,0,1,4,0,1,200358
357,2,3,2,0,3,2,0,3,200359
358,1,3,2,0,1,2,0,1,200360
359,1,1,1,0,2,2,0,2,200361
360,2,3,2,0,2,1,0,2,200362
361,1,3,1,0,2,1,0,2,200363
362,1,3,1,0,2,2,0,2,200364
363,2,3,1,0,1,2,0,1,200365
364,2,3,2,0,1,4,0,1,200366
365,1,4,2,0,3,4,0,3,200367
366,1,3,2,0,1,2,0,1,200368
367,1,1,2,0,2,1,0,2,200369
368,1,1,1,0,2,1,0,2,200370
369,1,1,2,0,2,1,0,2,200371
370,1,1,2,0,1,4,0,1,200372
371,1,3,2,0,2,3,0,2,200373
372,1,1,2,0,1,1,0,1,200374
373,1,1,2,0,3,4,0,3,200375
374,1,1,1,0,1,2,0,1,200376
375,1,1,1,0,2,2,0,2,200377
376,2,3,2,0,1,1,0,1,200378
377,1,1,1,0,4,1,0,4,200379
378,1,3,1,0,1,3,0,1,200380
379,1,4,2,0,2,2,0,2,200381
380,2,4,2,0,2,1,0,2,200382
381,1,3,1,0,2,2,0,2,200383
382,1,3,2,0,3,2,0,3,200384
383,1,1,1,0,2,3,0,2,200386
384,1,3,1,0,1,3,0,1,200387
385,1,1,1,0,2,3,0,2,200388
386,1,1,2,0,1,1,0,1,200389
387,1,1,2,0,4,3,0,4,200390
388,1,3,1,0,1,2,0,1,200391
389,1,3,2,1,0,2,1,0,200392
390,2,3,1,0,1,2,0,1,200393
391,1,3,1,0,1,2,0,1,200394
392,2,3,2,0,2,2,0,2,200395
393,1,1,1,0,1,3,0,1,200396
394,1,1,1,0,1,1,0,1,200397
395,2,3,1,0,1,2,0,1,200398
396,1,1,2,0,2,2,0,2,200399
397,2,1,2,1,0,3,1,0,200400
398,2,1,1,0,4,2,0,4,200401
399,1,4,1,0,1,4,0,1,200402
400,1,3,2,0,3,2,0,3,200403
401,1,3,2,0,1,3,0,1,200404
402,1,3,2,0,2,2,0,2,200405
403,1,3,2,0,3,2,0,3,200406
404,1,1,2,0,2,2,0,2,200407
405,1,1,1,0,4,2,0,4,200408
406,2,1,1,0,1,3,0,1,200409
407,1,1,1,0,1,1,0,1,200410
408,1,1,1,1,0,2,1,0,200411
409,1,3,1,0,1,3,0,1,200412
410,2,4,1,0,1,2,0,1,200413
411,1,4,1,0,2,1,0,2,200414
412,2,3,1,0,2,3,0,2,200415
413,2,1,2,0,2,2,0,2,200416
414,1,1,1,1,0,2,1,0,200417
415,1,1,1,0,2,3,0,2,200418
416,2,1,2,0,2,2,0,2,200419
417,1,3,2,0,3,2,0,3,200420
418,1,4,1,0,2,2,0,2,200421
419,1,4,2,0,2,1,0,2,200422
420,2,1,1,0,3,2,0,3,200423
421,1,3,2,0,4,3,0,4,200424
422,1,1,2,0,4,2,0,4,200425
423,2,3,1,0,2,1,0,2,200426
424,2,3,1,0,3,2,0,3,200427
425,1,3,1,0,1,3,0,1,200428
426,1,1,2,0,4,2,0,4,200429
427,1,1,2,0,2,1,0,2,200430
428,1,1,1,0,1,1,0,1,200431
429,1,1,2,0,2,3,0,2,200432
430,1,3,1,0,3,2,0,3,200433
431,1,1,2,0,3,3,0,3,200434
432,1,3,2,0,3,2,0,3,200435
433,1,3,2,0,2,3,0,2,200436
434,1,3,2,0,2,1,0,2,200437
435,1,1,2,0,3,2,0,3,200438
436,2,1,2,0,3,2,0,3,200439
437,2,1,1,0,3,3,0,3,200440
438,2,1,2,0,2,2,0,2,200441
439,2,3,2,0,3,4,0,3,200442
440,2,4,2,0,2,1,0,2,200443
441,1,3,1,0,1,2,0,1,200444
442,1,1,1,0,4,1,0,4,200445
443,2,1,2,0,1,1,0,1,200446
444,1,3,2,0,1,2,0,1,200447
445,1,1,3,0,4,4,0,4,200448
446,2,1,1,0,2,2,0,2,200449
447,1,1,2,0,1,4,0,1,200450
448,1,3,2,0,3,2,0,3,200451
449,1,1,2,0,1,2,0,1,200452
450,2,1,1,0,2,3,0,2,200453
451,1,4,2,0,1,3,0,1,200454
452,1,3,1,0,4,3,0,4,200455
453,1,1,2,0,3,3,0,3,200456
454,2,3,2,0,2,1,0,2,200457
455,2,1,2,0,3,3,0,3,200458
456,2,1,1,0,1,4,0,1,200459
457,1,3,2,0,1,3,0,1,200460
458,1,3,1,0,1,1,0,1,200461
459,1,1,2,0,1,1,0,1,200462
460,1,4,2,0,2,1,0,2,200463
461,1,4,1,0,3,4,0,3,200464
462,2,3,1,0,3,2,0,3,200465
463,1,1,1,0,4,2,0,4,200466
464,2,3,2,0,3,3,0,3,200467
465,1,4,2,0,1,3,0,1,200468
466,2,1,2,0,1,2,0,1,200469
467,2,3,2,0,2,2,0,2,200470
468,1,3,1,0,1,2,0,1,200471
469,1,1,1,0,1,2,0,1,200472
470,1,1,2,1,0,3,1,0,200473
471,1,3,2,0,2,2,0,2,200474
472,1,3,2,0,1,2,0,1,200475
473,1,1,2,0,2,2,0,2,200476
474,2,3,2,1,0,2,1,0,200477
475,1,3,2,0,2,2,0,2,200478
476,2,1,1,0,2,2,0,2,200479
477,2,1,2,0,2,2,0,2,200480
478,1,1,2,0,2,2,0,2,200481
479,1,3,2,0,1,3,0,1,200482
480,1,1,2,0,1,1,0,1,200483
481,1,3,2,0,1,3,0,1,200484
482,1,3,1,0,2,3,0,2,200485
483,1,3,2,0,1,2,0,1,200486
484,1,1,1,0,2,1,0,2,200487
485,1,1,1,0,1,2,0,1,200488
486,1,1,2,0,4,3,0,4,200489
487,1,1,1,0,2,1,0,2,200490
488,2,3,2,0,1,3,0,1,200491
489,1,1,1,0,4,2,0,4,200492
490,1,1,1,0,1,1,0,1,200493
491,1,4,1,0,2,3,0,2,200494
492,1,3,2,0,2,3,0,2,200495
493,1,4,2,0,2,1,0,2,200496
494,1,1,2,1,0,2,1,0,200497
495,1,3,2,0,2,2,0,2,200498
496,1,3,2,0,1,3,0,1,200499
497,1,1,1,0,1,2,0,1,200500
498,2,3,1,0,2,3,0,2,200501
499,1,3,1,0,1,4,0,1,200502
500,1,1,2,0,2,2,0,2,200503
501,2,1,1,0,1,2,0,1,200504
502,1,1,1,0,2,2,0,2,200505
503,1,1,2,0,3,2,0,3,200506
504,1,3,1,0,1,2,0,1,200507
505,1,1,2,0,1,4,0,1,200508
506,2,1,2,0,1,3,0,1,200509
507,1,3,2,0,3,2,0,3,200510
508,1,3,2,0,1,3,0,1,200511
509,1,3,2,0,2,1,0,2,200512
510,1,3,2,0,2,1,0,2,200513
511,2,1,2,0,2,1,0,2,200514
512,2,1,2,0,2,2,0,2,200515
513,1,3,2,0,2,2,0,2,200516
514,1,1,2,0,1,2,0,1,200517
515,1,3,1,0,1,1,0,1,200518
516,2,1,2,0,2,3,0,2,200519
517,1,3,2,0,1,2,0,1,200520
518,2,3,1,0,1,3,0,1,200521
519,1,1,2,0,2,1,0,2,200522
520,1,3,2,0,2,2,0,2,200523
521,1,3,3,0,3,4,0,3,200524
522,1,1,1,0,1,1,0,1,200525
523,1,4,1,0,1,1,0,1,200526
524,1,3,2,0,1,1,0,1,200527
525,2,4,2,0,1,2,0,1,200528
526,1,1,1,0,1,4,0,1,200529
527,1,1,1,0,3,2,0,3,200530
528,1,1,3,0,3,4,0,3,200531
529,1,3,2,0,1,1,0,1,200532
530,2,1,2,0,3,2,0,3,200533
531,1,1,2,0,4,2,0,4,200534
532,1,1,2,1,0,3,1,0,200535
533,1,3,2,0,1,1,0,1,200536
534,2,1,2,0,3,3,0,3,200537
535,1,1,2,1,0,2,1,0,200538
536,1,3,2,0,2,2,0,2,200539
537,1,1,1,0,2,1,0,2,200540
538,2,1,1,0,3,2,0,3,200541
539,1,1,1,0,3,4,0,3,200542
540,2,3,2,0,2,1,0,2,200543
541,2,3,1,0,4,3,0,4,200544
542,1,3,2,0,1,3,0,1,200545
543,1,1,2,0,2,1,0,2,200546
544,2,3,2,0,2,3,0,2,200547
545,2,1,2,0,1,2,0,1,200548
546,1,3,1,0,1,1,0,1,200549
547,1,3,2,0,2,2,0,2,200550
548,1,1,1,0,1,2,0,1,200551
549,1,3,2,0,4,2,0,4,200552
550,1,3,1,0,2,1,0,2,200553
551,1,3,1,0,1,4,0,1,200554
552,1,3,2,0,2,3,0,2,200555
553,1,1,2,0,1,1,0,1,200556
554,2,1,1,0,1,3,0,1,200557
555,2,1,2,0,1,2,0,1,200558
556,1,3,2,0,2,2,0,2,200559
557,1,1,1,0,1,3,0,1,200560
558,1,3,2,0,4,2,0,4,200561
559,1,1,2,0,2,1,0,2,200562
560,1,3,1,0,1,1,0,1,200563
561,1,4,2,0,1,4,0,1,200564
562,1,3,2,0,2,1,0,2,200565
563,2,1,1,0,1,4,0,1,200566
564,1,1,2,0,1,1,0,1,200567
565,1,3,2,1,0,2,1,0,200568
566,2,1,2,0,3,4,0,3,200569
567,2,3,2,0,2,2,0,2,200570
568,1,1,1,0,2,3,0,2,200571
569,1,3,1,0,1,2,0,1,200572
570,1,4,2,0,1,1,0,1,200573
571,1,1,1,0,2,1,0,2,200574
572,1,3,1,0,1,3,0,1,200575
573,1,3,2,0,1,2,0,1,200576
574,1,1,1,0,2,3,0,2,200577
575,2,1,1,0,1,1,0,1,200578
576,1,3,1,0,2,1,0,2,200579
577,1,1,1,0,2,2,0,2,200580
578,1,1,2,0,2,2,0,2,200581
579,2,3,1,0,1,2,0,1,200582
580,1,1,1,0,1,2,0,1,200583
581,2,1,2,1,0,3,1,0,200584
582,1,1,2,0,2,2,0,2,200585
583,2,1,2,0,2,3,0,2,200586
584,1,1,1,0,1,2,0,1,200587
585,1,3,2,0,4,2,0,4,200588
586,1,1,1,0,2,2,0,2,200589
587,1,3,2,0,3,2,0,3,200590
588,1,3,1,0,1,1,0,1,200591
589,1,1,1,0,4,2,0,4,200592
590,1,1,1,0,1,2,0,1,200593
591,1,1,2,0,2,2,0,2,200594
592,1,1,2,1,0,1,1,0,200595
593,1,1,1,0,2,1,0,2,200596
594,1,1,1,0,1,2,0,1,200597
595,1,3,2,0,2,1,0,2,200598
596,1,1,2,0,2,2,0,2,200599
597,1,1,1,0,1,2,0,1,200600
598,2,3,2,0,1,1,0,1,200601
599,1,3,1,0,1,4,0,1,200602
600,1,1,1,0,2,1,0,2,200603
601,1,1,2,0,1,2,0,1,200604
602,2,1,2,0,1,3,0,1,200605
603,2,1,1,0,2,1,0,2,200606
604,1,3,1,0,3,2,0,3,200607
605,1,3,2,0,1,1,0,1,200608
606,1,1,2,0,4,2,0,4,200609
607,1,4,2,0,3,3,0,3,200610
608,1,1,2,0,3,4,0,3,200611
609,1,3,1,0,1,2,0,1,200612
610,1,1,2,0,2,2,0,2,200613
611,2,3,1,0,2,2,0,2,200614
612,2,3,2,0,2,2,0,2,200615
613,1,3,1,0,4,2,0,4,200616
614,1,3,2,0,1,1,0,1,200617
615,1,3,2,0,2,1,0,2,200618
616,1,3,2,0,1,3,0,1,200619
617,1,3,1,0,2,1,0,2,200620
618,1,1,2,0,1,2,0,1,200621
619,2,1,2,0,1,3,0,1,200622
620,2,1,2,0,2,3,0,2,200623
621,1,3,1,0,3,2,0,3,200624
622,1,3,2,0,3,3,0,3,200625
623,1,3,1,0,1,2,0,1,200626
624,2,3,1,0,4,2,0,4,200627
625,1,3,2,0,1,3,0,1,200628
626,1,3,2,0,2,3,0,2,200629
627,1,1,2,0,1,2,0,1,200630
628,1,1,2,0,2,2,0,2,200631
629,2,3,2,0,2,1,0,2,200632
630,1,1,2,0,2,2,0,2,200633
631,1,1,2,0,1,2,0,1,200634
632,1,1,1,0,3,2,0,3,200635
633,2,1,1,0,2,3,0,2,200636
634,2,1,2,0,2,3,0,2,200637
635,1,3,2,0,1,2,0,1,200638
636,1,4,1,0,2,2,0,2,200639
637,2,1,2,0,2,2,0,2,200640
638,2,1,2,0,1,2,0,1,200641
639,1,3,2,0,2,2,0,2,200642
640,1,1,1,0,1,2,0,1,200643
641,1,1,2,0,2,2,0,2,200644
642,1,3,1,0,2,3,0,2,200645
643,1,3,2,0,4,2,0,4,200646
644,1,4,2,0,3,2,0,3,200647
645,2,3,1,0,2,2,0,2,200648
646,1,1,1,0,4,1,0,4,200649
647,2,1,1,0,1,2,0,1,200650
648,1,3,1,0,1,2,0,1,200651
649,2,3,2,0,3,4,0,3,200652
650,2,1,2,0,4,3,0,4,200653
651,1,1,1,0,1,2,0,1,200654
652,1,1,2,0,2,3,0,2,200655
653,1,1,2,0,2,1,0,2,200656
654,1,3,1,0,2,3,0,2,200657
655,1,1,2,0,2,2,0,2,200658
656,1,3,2,0,1,1,0,1,200659
657,2,1,2,0,2,3,0,2,200660
658,1,1,1,0,1,3,0,1,200661
659,1,3,1,0,2,1,0,2,200662
