,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,CustomerID
64,0,0,1,0,1,2,0,2,200065
65,1,2,0,0,0,1,2,0,200066
66,0,1,0,1,0,2,0,2,200067
67,0,1,0,0,2,3,0,0,200068
68,0,0,0,0,2,3,0,1,200069
69,1,2,0,0,0,0,2,1,200070
70,0,1,0,0,2,2,0,1,200071
71,0,0,0,0,2,2,1,1,200072
72,1,1,0,0,0,2,1,1,200073
73,1,1,0,0,0,1,1,2,200074
74,1,1,0,0,0,0,2,2,200075
75,1,0,0,0,0,2,2,1,200076
76,0,1,0,1,0,2,0,2,200077
77,0,0,0,1,0,2,1,2,200078
78,1,0,0,0,0,3,1,1,200079
79,1,1,0,0,0,2,1,1,200080
80,0,0,0,0,2,2,1,1,200081
81,0,1,0,1,0,2,0,2,200082
82,1,1,0,0,0,2,1,1,200083
83,1,0,0,0,0,3,1,1,200084
84,0,1,0,1,0,1,1,2,200085
85,0,0,0,0,3,2,0,1,200086
86,0,1,0,0,2,2,0,1,200087
87,1,1,0,0,0,2,1,1,200088
88,0,0,0,1,0,2,1,2,200089
89,0,2,1,0,1,2,0,0,200090
90,1,0,0,0,0,2,2,1,200091
91,1,0,0,0,0,2,1,2,200092
92,0,1,0,1,0,3,0,1,200093
93,1,0,0,0,0,2,2,1,200094
94,0,0,0,1,1,1,0,3,200095
95,1,1,0,0,0,1,1,2,200096
96,1,1,0,0,0,3,1,0,200097
97,0,0,1,0,1,2,1,1,200098
98,1,1,0,0,0,3,1,0,200099
99,0,1,0,0,2,2,0,1,200100
100,0,1,0,0,2,1,1,1,200101
101,0,2,0,0,2,0,1,1,200102
102,1,1,0,0,0,0,2,2,200103
103,1,2,0,0,0,2,1,0,200104
104,0,2,0,0,0,2,1,1,200105
105,0,2,0,0,0,2,1,1,200106
106,1,0,0,0,0,2,2,1,200107
107,0,0,0,0,2,3,0,1,200108
108,0,0,0,0,2,1,1,2,200109
109,0,1,0,1,0,1,1,2,200110
110,1,2,0,0,0,1,2,0,200111
111,0,2,1,0,1,0,1,1,200112
112,0,1,0,0,2,2,0,1,200113
113,1,1,0,0,0,1,1,2,200114
114,0,1,0,1,0,1,1,2,200115
115,0,0,1,1,0,1,1,2,200116
116,0,1,0,1,1,1,0,2,200117
117,0,1,0,0,2,1,0,2,200118
118,0,2,1,0,1,2,0,0,200119
119,0,2,0,0,2,2,0,0,200120
120,1,1,0,0,0,3,1,0,200121
121,0,1,0,0,2,1,0,2,200122
122,0,1,0,0,0,2,2,1,200123
123,1,1,0,0,0,2,1,1,200124
124,0,1,0,0,2,1,0,2,200125
125,0,0,0,1,0,2,0,3,200126
126,0,0,0,0,2,2,1,1,200127
127,0,0,0,0,3,2,0,1,200128
128,1,0,0,0,0,2,1,2,200129
129,0,1,0,0,2,1,1,1,200130
130,0,1,1,1,0,1,1,1,200131
131,1,1,0,0,0,1,1,2,200132
132,0,1,0,1,0,2,0,2,200133
133,0,1,0,0,2,1,0,2,200134
134,1,0,0,0,0,3,1,1,200135
135,0,2,0,1,0,1,1,1,200136
136,1,1,0,0,0,1,1,2,200137
137,1,1,0,0,0,2,1,1,200138
138,1,1,0,0,0,2,1,1,200139
139,0,0,0,0,2,1,1,2,200140
140,0,0,0,0,2,2,1,1,200141
141,0,1,0,0,2,0,1,2,200143
142,1,1,0,0,0,3,1,0,200144
143,0,0,0,0,3,1,0,2,200145
144,0,0,0,0,2,2,1,1,200146
145,0,2,1,0,1,2,0,0,200147
146,0,1,0,0,2,2,0,1,200148
147,0,0,0,0,2,1,1,2,200149
148,1,1,0,0,0,2,1,1,200150
149,0,0,0,1,0,3,0,2,200151
150,1,0,0,0,0,3,1,1,200152
151,1,1,0,0,0,2,1,1,200153
152,0,1,1,1,0,1,1,1,200154
153,1,1,0,0,1,2,1,0,200155
154,1,0,0,0,0,3,1,1,200156
155,0,0,0,0,2,2,0,2,200157
156,0,0,0,1,0,3,0,2,200158
157,0,1,0,0,2,2,0,1,200159
158,0,0,0,0,2,3,0,1,200160
159,0,1,0,0,2,3,0,0,200161
160,0,0,0,0,2,3,0,1,200162
161,0,1,0,1,0,2,0,2,200163
162,0,1,0,0,2,3,0,0,200164
163,0,1,0,0,0,1,2,2,200165
164,0,1,0,0,2,2,0,1,200166
165,0,1,0,1,0,1,0,3,200167
166,1,1,1,0,0,0,2,1,200168
167,0,1,0,0,2,1,1,1,200169
168,0,0,0,0,3,2,0,1,200170
169,0,1,0,0,3,0,1,1,200171
170,0,1,0,0,2,2,1,0,200172
171,1,1,0,0,0,3,1,0,200173
172,1,1,0,0,0,1,1,2,200174
173,0,1,0,0,2,1,0,2,200175
174,0,1,0,0,2,1,1,1,200176
175,0,1,0,0,2,1,1,1,200177
176,0,0,0,1,0,2,0,3,200178
177,0,1,0,0,2,0,1,2,200179
178,0,0,0,0,2,2,0,2,200180
179,0,0,0,0,2,1,1,2,200181
180,0,0,0,0,2,1,1,2,200182
181,0,0,0,0,2,3,0,1,200183
182,1,0,0,0,0,2,1,2,200184
183,0,0,0,0,2,2,0,2,200185
184,0,0,0,0,0,3,1,2,200186
185,0,0,0,0,0,3,2,1,200187
186,1,2,0,0,0,2,1,0,200188
187,0,0,1,0,1,1,1,2,200189
188,0,1,0,0,0,3,1,1,200190
189,0,0,0,0,2,1,1,2,200191
190,1,1,0,0,0,2,1,1,200192
191,0,1,0,0,2,3,0,0,200193
192,0,1,1,0,1,3,0,0,200194
193,0,1,0,0,2,2,0,1,200195
194,1,1,0,0,0,1,2,1,200196
195,1,1,0,0,0,2,1,1,200197
196,1,1,0,0,0,2,1,1,200198
197,1,0,0,0,1,2,1,1,200199
198,1,1,0,0,1,2,1,0,200200
199,1,2,0,0,0,2,1,0,200201
200,0,1,0,0,2,3,0,0,200202
201,1,0,0,0,0,3,1,1,200203
202,1,0,0,0,0,3,1,1,200204
203,0,0,0,1,0,2,0,3,200205
204,0,1,0,0,2,2,0,1,200206
205,0,1,0,0,2,1,1,1,200207
206,1,2,0,0,0,2,1,0,200208
207,0,0,0,1,0,3,0,2,200209
208,0,0,0,1,0,3,0,2,200210
209,0,2,0,1,0,1,1,1,200211
210,1,2,1,0,0,0,2,0,200212
211,0,1,0,1,0,2,0,2,200213
212,0,0,0,0,3,0,1,2,200214
213,0,1,1,1,0,0,1,2,200215
214,1,1,0,0,0,1,2,1,200216
215,0,0,0,0,3,1,1,1,200217
216,0,1,1,1,0,1,1,1,200218
217,1,0,0,0,0,2,1,2,200219
218,1,1,0,0,0,1,2,1,200220
219,0,0,0,0,2,2,0,2,200221
220,0,2,0,1,0,2,0,1,200222
221,0,1,0,1,0,2,0,2,200223
222,1,0,0,0,0,3,1,1,200224
223,0,1,0,0,2,2,0,1,200225
224,0,1,0,0,2,3,0,0,200226
225,0,1,0,1,0,2,0,2,200227
226,0,1,1,1,0,1,1,1,200228
227,0,0,0,0,2,2,1,1,200229
228,0,1,0,0,2,0,1,2,200230
229,0,0,0,0,1,3,1,1,200231
230,0,0,0,0,2,3,0,1,200232
231,0,0,0,0,0,3,1,2,200233
232,0,0,0,0,2,3,0,1,200234
233,0,0,1,0,1,2,0,2,200235
234,0,1,0,0,2,1,0,2,200236
235,0,2,0,0,0,2,2,0,200237
236,0,1,0,0,2,1,0,2,200238
237,0,1,0,0,2,1,1,1,200239
238,0,0,0,0,2,2,0,2,200240
239,1,1,0,0,0,3,1,0,200241
240,1,1,0,0,0,2,1,1,200242
241,1,0,0,0,1,2,1,1,200243
242,0,1,0,0,0,3,1,1,200244
243,0,1,0,1,0,3,0,1,200245
244,0,1,0,0,2,1,0,2,200246
245,1,1,0,0,0,2,1,1,200247
246,0,0,0,0,2,2,0,2,200248
247,1,2,0,0,0,2,1,0,200249
248,0,1,0,1,0,3,0,1,200250
249,0,1,1,1,1,0,1,1,200251
250,0,1,0,0,2,1,1,1,200252
251,1,1,0,0,0,0,2,2,200253
252,1,0,0,0,0,3,1,1,200254
253,1,1,0,0,0,1,1,2,200255
254,0,0,0,0,2,2,0,2,200256
255,0,0,0,0,0,4,1,1,200257
256,0,1,0,0,2,2,0,1,200258
257,0,1,0,0,2,2,1,0,200259
258,0,2,0,0,2,2,0,0,200260
259,1,2,0,0,0,2,1,0,200261
260,1,0,0,0,1,1,2,1,200262
261,0,0,1,0,2,1,0,2,200263
262,0,1,0,0,2,1,1,1,200264
263,1,0,0,0,0,3,1,1,200265
264,1,0,0,0,0,3,1,1,200266
265,1,2,0,0,0,2,1,0,200267
266,0,0,1,0,1,3,0,1,200268
267,0,1,0,0,2,2,0,1,200269
268,0,0,0,0,0,3,2,1,200270
269,0,2,0,1,0,2,0,1,200271
270,0,0,0,0,2,3,0,1,200272
271,1,0,0,0,0,3,1,1,200273
272,0,0,0,0,2,2,1,1,200274
273,0,1,0,1,0,2,0,2,200275
274,0,1,0,1,0,1,0,3,200276
275,1,0,0,0,0,2,1,2,200277
276,1,2,0,0,0,1,1,1,200278
277,0,1,0,0,0,3,1,1,200279
278,0,0,1,0,1,3,0,1,200280
279,1,1,0,0,0,2,1,1,200281
280,1,2,0,0,0,1,2,0,200282
281,1,0,0,0,1,2,1,1,200283
282,1,1,0,0,0,3,1,0,200284
283,0,1,0,0,2,0,1,2,200285
284,0,2,0,0,2,2,0,0,200286
285,1,1,0,0,0,2,1,1,200287
286,0,0,0,0,2,3,0,1,200288
287,0,1,0,0,2,0,1,2,200289
288,0,2,0,0,0,1,2,1,200290
289,1,0,0,0,1,1,2,1,200291
290,0,1,0,0,2,2,0,1,200292
291,1,0,0,0,0,2,2,1,200293
292,0,1,0,0,2,3,0,0,200294
293,0,1,1,0,1,2,0,1,200295
294,0,1,0,0,2,1,1,1,200296
295,0,0,0,1,0,3,0,2,200297
296,0,2,0,0,2,2,0,0,200298
297,1,0,0,0,0,3,1,1,200299
298,0,1,1,0,1,1,1,1,200300
299,0,0,0,0,2,1,1,2,200301
300,1,0,0,0,0,2,2,1,200302
301,1,0,0,0,1,2,1,1,200303
302,0,0,0,1,0,3,0,2,200304
303,1,2,0,0,0,1,1,1,200305
304,1,1,0,0,0,2,1,1,200306
305,0,1,0,1,0,1,0,3,200307
306,1,2,0,0,0,2,1,0,200308
307,0,0,0,0,3,2,0,1,200309
308,1,1,0,0,0,2,1,1,200310
309,0,2,0,1,0,2,0,1,200311
310,0,1,0,0,2,2,0,1,200312
311,0,2,0,1,0,1,0,2,200313
312,0,0,1,0,1,3,0,1,200314
313,0,2,0,0,2,0,1,1,200315
314,0,0,1,0,2,0,1,2,200316
315,1,0,0,0,0,3,1,1,200317
316,0,1,0,0,2,0,1,2,200318
317,1,0,0,0,1,1,1,2,200319
318,1,1,0,0,0,1,2,1,200320
319,1,0,0,0,0,3,1,1,200321
320,1,0,0,0,0,1,2,2,200322
321,0,0,0,0,2,3,0,1,200323
322,1,0,0,0,0,2,1,2,200324
323,0,2,0,1,0,1,0,2,200325
324,0,1,0,0,0,4,1,0,200326
325,1,0,0,0,0,2,1,2,200327
326,1,1,0,0,0,2,2,0,200328
327,0,1,0,0,0,3,1,1,200329
328,1,2,0,0,0,1,1,1,200330
329,1,1,0,0,0,3,1,0,200331
330,1,2,0,0,0,0,2,1,200332
331,0,1,0,1,0,1,0,3,200333
332,1,1,0,0,0,2,1,1,200334
333,1,0,0,0,0,3,1,1,200335
334,0,1,0,0,2,2,0,1,200336
335,0,1,0,0,2,1,1,1,200337
336,1,0,0,0,0,2,1,2,200338
337,1,0,0,0,0,2,1,2,200339
338,1,0,0,0,0,3,1,1,200340
339,0,1,0,1,0,2,0,2,200341
340,0,0,0,1,0,1,1,3,200342
341,1,0,0,0,0,2,1,2,200343
342,0,0,0,1,1,1,1,2,200344
343,0,1,0,0,2,2,0,1,200345
344,1,0,0,0,0,2,2,1,200346
345,1,1,0,0,0,2,2,0,200347
346,0,1,1,0,1,0,1,2,200348
347,1,2,0,0,0,2,1,0,200349
348,0,0,0,0,3,2,0,1,200350
349,0,0,0,0,2,2,0,2,200351
350,0,0,0,1,0,2,0,3,200352
351,1,0,0,0,0,3,1,1,200353
352,1,1,0,0,1,1,1,1,200354
353,1,1,0,0,0,2,1,1,200355
354,1,1,0,0,0,1,2,1,200356
355,0,1,0,0,3,0,1,1,200357
356,1,1,0,0,0,1,2,1,200358
357,0,1,0,1,0,3,0,1,200359
358,1,0,0,0,0,3,1,1,200360
359,0,1,0,0,2,1,0,2,200361
360,0,1,0,0,2,2,1,0,200362
361,0,0,0,0,2,1,1,2,200363
362,0,0,0,0,2,2,0,2,200364
363,1,1,0,0,0,2,1,1,200365
364,1,1,0,0,0,2,2,0,200366
365,0,0,0,1,1,1,1,2,200367
366,1,0,0,0,0,3,1,1,200368
367,0,1,0,0,2,1,1,1,200369
368,0,1,0,0,2,0,1,2,200370
369,0,1,0,0,2,1,1,1,200371
370,1,1,0,0,0,1,2,1,200372
371,0,0,0,0,2,3,0,1,200373
372,1,1,0,0,0,1,2,1,200374
373,0,1,0,1,0,1,1,2,200375
374,1,1,0,0,0,1,1,2,200376
375,0,1,0,0,2,1,0,2,200377
376,1,1,0,0,0,2,2,0,200378
377,0,1,1,0,1,0,1,2,200379
378,1,0,0,0,0,2,1,2,200380
379,0,0,0,0,3,2,0,1,200381
380,0,1,0,0,3,1,1,0,200382
381,0,0,0,0,2,2,0,2,200383
382,0,0,0,1,0,3,0,2,200384
383,0,1,0,0,2,1,0,2,200386
384,1,0,0,0,0,2,1,2,200387
385,0,1,0,0,2,1,0,2,200388
386,1,1,0,0,0,1,2,1,200389
387,0,1,1,0,1,2,0,1,200390
388,1,0,0,0,0,2,1,2,200391
389,0,0,0,0,0,4,1,1,200392
390,1,1,0,0,0,2,1,1,200393
391,1,0,0,0,0,2,1,2,200394
392,0,1,0,0,2,3,0,0,200395
393,1,1,0,0,0,1,1,2,200396
394,1,1,0,0,0,0,2,2,200397
395,1,1,0,0,0,2,1,1,200398
396,0,1,0,0,2,2,0,1,200399
397,0,2,0,0,0,3,1,0,200400
398,0,2,1,0,1,1,0,1,200401
399,1,0,0,0,1,0,2,2,200402
400,0,0,0,1,0,3,0,2,200403
401,1,0,0,0,0,3,1,1,200404
402,0,0,0,0,2,3,0,1,200405
403,0,0,0,1,0,3,0,2,200406
404,0,1,0,0,2,2,0,1,200407
405,0,1,1,0,1,1,0,2,200408
406,1,2,0,0,0,1,1,1,200409
407,1,1,0,0,0,0,2,2,200410
408,0,1,0,0,0,2,1,2,200411
409,1,0,0,0,0,2,1,2,200412
410,1,1,0,0,1,1,1,1,200413
411,0,0,0,0,3,0,1,2,200414
412,0,1,0,0,2,2,0,1,200415
413,0,2,0,0,2,2,0,0,200416
414,0,1,0,0,0,2,1,2,200417
415,0,1,0,0,2,1,0,2,200418
416,0,2,0,0,2,2,0,0,200419
417,0,0,0,1,0,3,0,2,200420
418,0,0,0,0,3,1,0,2,200421
419,0,0,0,0,3,1,1,1,200422
420,0,2,0,1,0,1,0,2,200423
421,0,0,1,0,1,3,0,1,200424
422,0,1,1,0,1,2,0,1,200425
423,0,1,0,0,2,1,1,1,200426
424,0,1,0,1,0,2,0,2,200427
425,1,0,0,0,0,2,1,2,200428
426,0,1,1,0,1,2,0,1,200429
427,0,1,0,0,2,1,1,1,200430
428,1,1,0,0,0,0,2,2,200431
429,0,1,0,0,2,2,0,1,200432
430,0,0,0,1,0,2,0,3,200433
431,0,1,0,1,0,2,0,2,200434
432,0,0,0,1,0,3,0,2,200435
433,0,0,0,0,2,3,0,1,200436
434,0,0,0,0,2,2,1,1,200437
435,0,1,0,1,0,2,0,2,200438
436,0,2,0,1,0,2,0,1,200439
437,0,2,0,1,0,1,0,2,200440
438,0,2,0,0,2,2,0,0,200441
439,0,1,0,1,0,2,1,1,200442
440,0,1,0,0,3,1,1,0,200443
441,1,0,0,0,0,2,1,2,200444
442,0,1,1,0,1,0,1,2,200445
443,1,2,0,0,0,1,2,0,200446
444,1,0,0,0,0,3,1,1,200447
445,0,1,2,0,1,0,1,1,200448
446,0,2,0,0,2,1,0,1,200449
447,1,1,0,0,0,1,2,1,200450
448,0,0,0,1,0,3,0,2,200451
449,1,1,0,0,0,2,1,1,200452
450,0,2,0,0,2,1,0,1,200453
451,1,0,0,0,1,2,1,1,200454
452,0,0,1,0,1,2,0,2,200455
453,0,1,0,1,0,2,0,2,200456
454,0,1,0,0,2,2,1,0,200457
455,0,2,0,1,0,2,0,1,200458
456,1,2,0,0,0,0,2,1,200459
457,1,0,0,0,0,3,1,1,200460
458,1,0,0,0,0,1,2,2,200461
459,1,1,0,0,0,1,2,1,200462
460,0,0,0,0,3,1,1,1,200463
461,0,0,0,1,1,0,1,3,200464
462,0,1,0,1,0,2,0,2,200465
463,0,1,1,0,1,1,0,2,200466
464,0,1,0,1,0,3,0,1,200467
465,1,0,0,0,1,2,1,1,200468
466,1,2,0,0,0,2,1,0,200469
467,0,1,0,0,2,3,0,0,200470
468,1,0,0,0,0,2,1,2,200471
469,1,1,0,0,0,1,1,2,200472
470,0,1,0,0,0,3,1,1,200473
471,0,0,0,0,2,3,0,1,200474
472,1,0,0,0,0,3,1,1,200475
473,0,1,0,0,2,2,0,1,200476
474,0,1,0,0,0,4,1,0,200477
475,0,0,0,0,2,3,0,1,200478
476,0,2,0,0,2,1,0,1,200479
477,0,2,0,0,2,2,0,0,200480
478,0,1,0,0,2,2,0,1,200481
479,1,0,0,0,0,3,1,1,200482
480,1,1,0,0,0,1,2,1,200483
481,1,0,0,0,0,3,1,1,200484
482,0,0,0,0,2,2,0,2,200485
483,1,0,0,0,0,3,1,1,200486
484,0,1,0,0,2,0,1,2,200487
485,1,1,0,0,0,1,1,2,200488
486,0,1,1,0,1,2,0,1,200489
487,0,1,0,0,2,0,1,2,200490
488,1,1,0,0,0,3,1,0,200491
489,0,1,1,0,1,1,0,2,200492
490,1,1,0,0,0,0,2,2,200493
491,0,0,0,0,3,1,0,2,200494
492,0,0,0,0,2,3,0,1,200495
493,0,0,0,0,3,1,1,1,200496
494,0,1,0,0,0,3,1,1,200497
495,0,0,0,0,2,3,0,1,200498
496,1,0,0,0,0,3,1,1,200499
497,1,1,0,0,0,1,1,2,200500
498,0,1,0,0,2,2,0,1,200501
499,1,0,0,0,0,1,2,2,200502
500,0,1,0,0,2,2,0,1,200503
501,1,2,0,0,0,1,1,1,200504
502,0,1,0,0,2,1,0,2,200505
503,0,1,0,1,0,2,0,2,200506
504,1,0,0,0,0,2,1,2,200507
505,1,1,0,0,0,1,2,1,200508
506,1,2,0,0,0,2,1,0,200509
507,0,0,0,1,0,3,0,2,200510
508,1,0,0,0,0,3,1,1,200511
509,0,0,0,0,2,2,1,1,200512
510,0,0,0,0,2,2,1,1,200513
511,0,2,0,0,2,1,1,0,200514
512,0,2,0,0,2,2,0,0,200515
513,0,0,0,0,2,3,0,1,200516
514,1,1,0,0,0,2,1,1,200517
515,1,0,0,0,0,1,2,2,200518
516,0,2,0,0,2,2,0,0,200519
517,1,0,0,0,0,3,1,1,200520
518,1,1,0,0,0,2,1,1,200521
519,0,1,0,0,2,1,1,1,200522
520,0,0,0,0,2,3,0,1,200523
521,0,0,1,1,0,1,1,2,200524
522,1,1,0,0,0,0,2,2,200525
523,1,0,0,0,1,0,2,2,200526
524,1,0,0,0,0,2,2,1,200527
525,1,1,0,0,1,2,1,0,200528
526,1,1,0,0,0,0,2,2,200529
527,0,1,0,1,0,1,0,3,200530
528,0,1,1,1,0,0,1,2,200531
529,1,0,0,0,0,2,2,1,200532
530,0,2,0,1,0,2,0,1,200533
531,0,1,1,0,1,2,0,1,200534
532,0,1,0,0,0,3,1,1,200535
533,1,0,0,0,0,2,2,1,200536
534,0,2,0,1,0,2,0,1,200537
535,0,1,0,0,0,3,1,1,200538
536,0,0,0,0,2,3,0,1,200539
537,0,1,0,0,2,0,1,2,200540
538,0,2,0,1,0,1,0,2,200541
539,0,1,0,1,0,0,1,3,200542
540,0,1,0,0,2,2,1,0,200543
541,0,1,1,0,1,2,0,1,200544
542,1,0,0,0,0,3,1,1,200545
543,0,1,0,0,2,1,1,1,200546
544,0,1,0,0,2,3,0,0,200547
545,1,2,0,0,0,2,1,0,200548
546,1,0,0,0,0,1,2,2,200549
547,0,0,0,0,2,3,0,1,200550
548,1,1,0,0,0,1,1,2,200551
549,0,0,1,0,1,3,0,1,200552
550,0,0,0,0,2,1,1,2,200553
551,1,0,0,0,0,1,2,2,200554
552,0,0,0,0,2,3,0,1,200555
553,1,1,0,0,0,1,2,1,200556
554,1,2,0,0,0,1,1,1,200557
555,1,2,0,0,0,2,1,0,200558
556,0,0,0,0,2,3,0,1,200559
557,1,1,0,0,0,1,1,2,200560
558,0,0,1,0,1,3,0,1,200561
559,0,1,0,0,2,1,1,1,200562
560,1,0,0,0,0,1,2,2,200563
561,1,0,0,0,1,1,2,1,200564
562,0,0,0,0,2,2,1,1,200565
563,1,2,0,0,0,0,2,1,200566
564,1,1,0,0,0,1,2,1,200567
565,0,0,0,0,0,4,1,1,200568
566,0,2,0,1,0,1,1,1,200569
567,0,1,0,0,2,3,0,0,200570
568,0,1,0,0,2,1,0,2,200571
569,1,0,0,0,0,2,1,2,200572
570,1,0,0,0,1,1,2,1,200573
571,0,1,0,0,2,0,1,2,200574
572,1,0,0,0,0,2,1,2,200575
573,1,0,0,0,0,3,1,1,200576
574,0,1,0,0,2,1,0,2,200577
575,1,2,0,0,0,0,2,1,200578
576,0,0,0,0,2,1,1,2,200579
577,0,1,0,0,2,1,0,2,200580
578,0,1,0,0,2,2,0,1,200581
579,1,1,0,0,0,2,1,1,200582
580,1,1,0,0,0,1,1,2,200583
581,0,2,0,0,0,3,1,0,200584
582,0,1,0,0,2,2,0,1,200585
583,0,2,0,0,2,2,0,0,200586
584,1,1,0,0,0,1,1,2,200587
585,0,0,1,0,1,3,0,1,200588
586,0,1,0,0,2,1,0,2,200589
587,0,0,0,1,0,3,0,2,200590
588,1,0,0,0,0,1,2,2,200591
589,0,1,1,0,1,1,0,2,200592
590,1,1,0,0,0,1,1,2,200593
591,0,1,0,0,2,2,0,1,200594
592,0,1,0,0,0,2,2,1,200595
593,0,1,0,0,2,0,1,2,200596
594,1,1,0,0,0,1,1,2,200597
595,0,0,0,0,2,2,1,1,200598
596,0,1,0,0,2,2,0,1,200599
597,1,1,0,0,0,1,1,2,200600
598,1,1,0,0,0,2,2,0,200601
599,1,0,0,0,0,1,2,2,200602
600,0,1,0,0,2,0,1,2,200603
601,1,1,0,0,0,2,1,1,200604
602,1,2,0,0,0,2,1,0,200605
603,0,2,0,0,2,0,1,1,200606
604,0,0,0,1,0,2,0,3,200607
605,1,0,0,0,0,2,2,1,200608
606,0,1,1,0,1,2,0,1,200609
607,0,0,0,1,1,2,0,2,200610
608,0,1,0,1,0,1,1,2,200611
609,1,0,0,0,0,2,1,2,200612
610,0,1,0,0,2,2,0,1,200613
611,0,1,0,0,2,2,0,1,200614
612,0,1,0,0,2,3,0,0,200615
613,0,0,1,0,1,2,0,2,200616
614,1,0,0,0,0,2,2,1,200617
615,0,0,0,0,2,2,1,1,200618
616,1,0,0,0,0,3,1,1,200619
617,0,0,0,0,2,1,1,2,200620
618,1,1,0,0,0,2,1,1,200621
619,1,2,0,0,0,2,1,0,200622
620,0,2,0,0,2,2,0,0,200623
621,0,0,0,1,0,2,0,3,200624
622,0,0,0,1,0,3,0,2,200625
623,1,0,0,0,0,2,1,2,200626
624,0,1,1,0,1,2,0,1,200627
625,1,0,0,0,0,3,1,1,200628
626,0,0,0,0,2,3,0,1,200629
627,1,1,0,0,0,2,1,1,200630
628,0,1,0,0,2,2,0,1,200631
629,0,1,0,0,2,2,1,0,200632
630,0,1,0,0,2,2,0,1,200633
631,1,1,0,0,0,2,1,1,200634
632,0,1,0,1,0,1,0,3,200635
633,0,2,0,0,2,1,0,1,200636
634,0,2,0,0,2,2,0,0,200637
635,1,0,0,0,0,3,1,1,200638
636,0,0,0,0,3,1,0,2,200639
637,0,2,0,0,2,2,0,0,200640
638,1,2,0,0,0,2,1,0,200641
639,0,0,0,0,2,3,0,1,200642
640,1,1,0,0,0,1,1,2,200643
641,0,1,0,0,2,2,0,1,200644
642,0,0,0,0,2,2,0,2,200645
643,0,0,1,0,1,3,0,1,200646
644,0,0,0,1,1,2,0,2,200647
645,0,1,0,0,2,2,0,1,200648
646,0,1,1,0,1,0,1,2,200649
647,1,2,0,0,0,1,1,1,200650
648,1,0,0,0,0,2,1,2,200651
649,0,1,0,1,0,2,1,1,200652
650,0,2,1,0,1,2,0,0,200653
651,1,1,0,0,0,1,1,2,200654
652,0,1,0,0,2,2,0,1,200655
653,0,1,0,0,2,1,1,1,200656
654,0,0,0,0,2,2,0,2,200657
655,0,1,0,0,2,2,0,1,200658
656,1,0,0,0,0,2,2,1,200659
657,0,2,0,0,2,2,0,0,200660
658,1,1,0,0,0,1,1,2,200661
659,0,0,0,0,2,1,1,2,200662
660,0,1,0,0,2,0,1,2,200663
661,1,1,0,0,0,2,1,1,200664
